일시,기온,풍향,풍속,습도
2020-11-19 13:00:00,23.461666666666662,238.01333333333335,6.565,87.30000000000001
2020-11-19 14:00:00,22.701666666666668,246.78666666666666,6.866666666666667,88.52499999999999
2020-11-19 15:00:00,19.613333333333333,269.76500000000004,5.631666666666667,93.26333333333334
2020-11-19 16:00:00,17.915000000000003,278.40999999999997,5.048333333333334,94.22333333333334
2020-11-19 17:00:00,17.708333333333332,270.7183333333333,4.118333333333333,91.97333333333331
2020-11-19 18:00:00,17.41333333333333,300.5083333333333,4.428333333333334,87.52499999999999
2020-11-19 19:00:00,17.19,285.87499999999994,3.8100000000000005,82.17166666666667
2020-11-19 20:00:00,16.875,286.2,3.08,80.93166666666667
2020-11-19 21:00:00,16.715,299.95,3.5549999999999997,79.87
2020-11-19 22:00:00,16.235,308.955,3.84,80.12833333333333
2020-11-19 23:00:00,15.935,304.37333333333333,3.4250000000000003,77.34666666666666
2020-11-20 00:00:00,15.703333333333333,316.3733333333333,3.4650000000000003,76.91333333333334
2020-11-20 01:00:00,15.446666666666665,313.43333333333334,3.4333333333333336,74.42833333333333
2020-11-20 02:00:00,15.118333333333332,306.5283333333333,2.951666666666666,73.38333333333333
2020-11-20 03:00:00,14.885,292.34999999999997,1.82,74.21333333333334
2020-11-20 04:00:00,15.015,292.77833333333336,2.353333333333333,73.90166666666667
2020-11-20 05:00:00,14.84666666666667,279.695,2.2950000000000004,74.33666666666666
2020-11-20 06:00:00,14.625,266.52,2.813333333333333,73.78833333333334
2020-11-20 07:00:00,14.438333333333333,301.62833333333333,3.3233333333333337,74.25500000000001
2020-11-20 08:00:00,13.958333333333334,318.525,4.773333333333333,75.17500000000001
2020-11-20 09:00:00,13.531666666666666,316.7516666666667,5.2299999999999995,74.46666666666667
2020-11-20 10:00:00,13.463333333333333,312.8016666666667,5.321666666666666,71.57333333333334
2020-11-20 11:00:00,13.245000000000003,312.42833333333334,5.253333333333334,69.88333333333334
2020-11-20 12:00:00,13.543333333333331,308.21999999999997,5.248333333333333,66.73833333333334
2020-11-20 13:00:00,13.455,311.07,5.286666666666666,64.64
2020-11-20 14:00:00,12.961666666666666,303.495,5.406666666666666,62.97833333333333
2020-11-20 15:00:00,12.495555555000001,311.51055555,5.059074074,65.70870370333334
2020-11-20 16:00:00,11.983333333333333,313.9116666666667,4.863333333333333,67.12333333333335
2020-11-20 17:00:00,11.916666666666666,312.92,4.799999999999999,66.86166666666666
2020-11-20 18:00:00,11.886666666666665,312.08666666666664,4.565,66.24
2020-11-20 19:00:00,11.843333333333334,310.32666666666665,4.198333333333333,65.87166666666667
2020-11-20 20:00:00,11.816666666666665,309.64500000000004,3.9599999999999995,66.58999999999999
2020-11-20 21:00:00,11.656666666666666,289.375,3.5,64.76166666666667
2020-11-20 22:00:00,11.521666666666667,257.97833333333335,2.7883333333333336,65.83166666666666
2020-11-20 23:00:00,11.391666666666666,269.615,3.1999999999999997,66.21499999999999
2020-11-21 00:00:00,11.15,263.62333333333333,2.67,67.37166666666667
2020-11-21 01:00:00,11.015,175.53333333333333,2.2566666666666664,68.045
2020-11-21 02:00:00,10.883333333333333,146.875,2.4216666666666664,69.35000000000001
2020-11-21 03:00:00,10.606666666666667,194.155,2.3383333333333334,71.27
2020-11-21 04:00:00,10.456666666666669,170.52166666666668,1.5000000000000002,70.81166666666667
2020-11-21 05:00:00,10.268333333333333,113.955,1.3083333333333333,71.68833333333333
2020-11-21 06:00:00,9.821666666666667,162.10333333333332,1.0799999999999998,73.12166666666667
2020-11-21 07:00:00,8.948333333333332,177.83666666666667,2.158333333333333,75.23833333333334
2020-11-21 08:00:00,8.92,154.50166666666667,1.5983333333333334,75.47666666666666
2020-11-21 09:00:00,10.006666666666666,154.75333333333333,1.2416666666666667,73.045
2020-11-21 10:00:00,12.148333333333333,116.47500000000001,2.1566666666666667,68.47000000000001
2020-11-21 11:00:00,14.079999999999998,85.23,2.855,67.58166666666666
2020-11-21 12:00:00,14.668333333333335,65.985,2.6649999999999996,70.99333333333334
2020-11-21 13:00:00,15.181666666666667,47.449999999999996,4.331666666666667,76.34333333333333
2020-11-21 14:00:00,15.386666666666668,52.67333333333334,5.113333333333333,78.07166666666667
2020-11-21 15:00:00,15.68,54.306666666666665,5.16,78.32666666666667
2020-11-21 16:00:00,15.680000000000001,52.51666666666666,4.996666666666666,75.93
2020-11-21 17:00:00,15.558333333333332,57.960740740000006,2.744259259333333,77.52111111166667
2020-11-21 18:00:00,0.0,0.0,0.0,0.0
2020-11-21 19:00:00,0.0,0.0,0.0,0.0
2020-11-21 20:00:00,12.914814815,48.468333333333334,1.6566666666666665,66.33809523833334
2020-11-21 21:00:00,15.801666666666668,86.91666666666667,2.1533333333333338,78.09833333333334
2020-11-21 22:00:00,15.406666666666666,176.76833333333335,0.9849999999999999,79.98333333333333
2020-11-21 23:00:00,14.913333333333332,107.05666666666667,1.3950000000000002,81.19166666666666
2020-11-22 00:00:00,15.793333333333331,72.51833333333332,1.9150000000000003,77.78333333333333
2020-11-22 01:00:00,14.94,114.18666666666665,1.7883333333333333,80.48333333333333
2020-11-22 02:00:00,14.558333333333332,96.46,1.72,82.56166666666667
2020-11-22 03:00:00,14.808333333333332,110.26666666666667,1.9066666666666665,82.75
2020-11-22 04:00:00,15.311666666666667,103.63833333333334,2.345,82.53
2020-11-22 05:00:00,15.363333333333335,86.2,2.315,83.04833333333333
2020-11-22 06:00:00,15.401666666666666,160.31,0.8599999999999999,83.13833333333334
2020-11-22 07:00:00,15.371666666666664,175.11,0.6116666666666666,84.62666666666667
2020-11-22 08:00:00,14.425000000000002,119.795,3.623333333333333,88.49333333333334
2020-11-22 09:00:00,13.230000000000002,17.048333333333332,5.111666666666667,90.87833333333333
2020-11-22 10:00:00,13.168333333333331,32.96666666666667,4.546666666666666,90.06666666666666
2020-11-22 11:00:00,13.458333333333334,128.40166666666664,1.116666666666667,89.10166666666667
2020-11-22 12:00:00,13.721666666666666,143.98666666666665,2.03,88.05
2020-11-22 13:00:00,12.811666666666667,177.59,4.361666666666666,89.33666666666669
2020-11-22 14:00:00,12.530000000000001,172.17499999999998,4.746666666666667,87.53500000000001
2020-11-22 15:00:00,11.976666666666667,303.2516666666667,3.078333333333333,89.78500000000001
2020-11-22 16:00:00,11.993333333333334,261.48166666666674,2.5633333333333335,91.195
2020-11-22 17:00:00,12.506666666666666,281.4066666666667,4.226666666666667,86.96166666666666
2020-11-22 18:00:00,12.538333333333332,297.66166666666663,4.468333333333333,77.325
2020-11-22 19:00:00,12.786666666666667,315.98333333333335,4.728333333333333,71.69166666666666
2020-11-22 20:00:00,12.868333333333332,318.075,5.183333333333334,70.60333333333334
2020-11-22 21:00:00,12.719999999999999,311.5216666666667,5.155,70.54666666666667
2020-11-22 22:00:00,12.571666666666665,320.90333333333336,6.141666666666666,66.81166666666667
2020-11-22 23:00:00,12.206666666666665,317.35166666666663,5.9383333333333335,69.47000000000001
2020-11-23 00:00:00,11.79,321.13333333333327,6.25,67.46833333333335
2020-11-23 01:00:00,11.015,319.21999999999997,6.390000000000001,64.69833333333334
