,일시,DSR,DSR_DQF1,강수량,기온,풍향,풍속,습도
1040,2020-04-13 23:00:00,0.0,0.0,0.0,8.286666666666667,272.5183333333334,4.661666666666667,79.04833333333335
1041,2020-04-14 00:00:00,0.0,0.0,0.0,8.625000000000002,279.6316666666667,5.255,76.82166666666666
1042,2020-04-14 01:00:00,0.0,0.0,0.0,8.756666666666666,280.35166666666663,4.654999999999999,76.04666666666667
1043,2020-04-14 02:00:00,0.0,0.0,0.0,8.576666666666666,276.795,4.135000000000001,75.31500000000001
1044,2020-04-14 03:00:00,0.0,0.0,0.0,8.086666666666666,276.3066666666667,3.688333333333333,74.58166666666668
1045,2020-04-14 04:00:00,0.0,0.0,0.0,8.040000000000001,275.325,3.9166666666666674,72.58833333333332
1046,2020-04-14 05:00:00,0.0,0.0,0.0,8.054999999999998,286.4066666666667,3.5416666666666665,73.12499999999999
1047,2020-04-14 06:00:00,0.0,0.0,0.0,7.631666666666668,270.3283333333333,3.3899999999999992,72.58500000000001
1048,2020-04-14 07:00:00,189.8000031,1.0,0.0,7.19,271.165,2.9249999999999994,71.54666666666667
1049,2020-04-14 08:00:00,413.7000122,1.0,0.0,9.768333333333333,284.9116666666667,3.3433333333333333,62.25166666666667
1050,2020-04-14 09:00:00,615.9000244,1.0,0.0,12.648333333333332,290.0783333333333,5.263333333333333,64.41833333333334
1051,2020-04-14 10:00:00,773.1000366,1.0,0.0,14.091666666666669,302.5466666666666,5.59,63.55166666666667
1052,2020-04-14 11:00:00,876.0,1.0,0.0,14.763333333333334,309.18333333333334,5.9433333333333325,62.19166666666667
1053,2020-04-14 12:00:00,914.2000122,1.0,0.0,15.26,309.38000000000005,6.041666666666667,61.175
1054,2020-04-14 13:00:00,853.9000244,1.0,0.0,15.61,313.55833333333334,5.54,55.781666666666666
1055,2020-04-14 14:00:00,862.4000244,1.0,0.0,15.845,316.2,5.43,47.931666666666665
1056,2020-04-14 15:00:00,748.4000244,1.0,0.0,16.05,319.605,5.283333333333334,49.36833333333333
1057,2020-04-14 16:00:00,547.4000244,1.0,0.0,15.683333333333335,319.00666666666666,5.083333333333333,52.70000000000001
1058,2020-04-14 17:00:00,384.8999939,1.0,0.0,15.698333333333332,312.44166666666666,4.075,50.93166666666667
1059,2020-04-14 18:00:00,129.1999969,1.0,0.0,15.261666666666668,304.17,3.598333333333333,40.5
1060,2020-04-14 19:00:00,0.0,0.0,0.0,14.243333333333332,284.65500000000003,2.921666666666667,41.531666666666666
1061,2020-04-14 20:00:00,0.0,0.0,0.0,12.666666666666666,284.6383333333334,2.115,52.278333333333336
1062,2020-04-14 21:00:00,0.0,0.0,0.0,11.6,286.57166666666666,2.1533333333333333,58.17333333333334
1063,2020-04-14 22:00:00,0.0,0.0,0.0,10.726666666666668,277.2583333333334,2.0016666666666665,59.51833333333333
1064,2020-04-14 23:00:00,0.0,0.0,0.0,10.023333333333332,268.6183333333333,2.228333333333333,56.66166666666666
1065,2020-04-15 00:00:00,0.0,0.0,0.0,10.071666666666664,269.1983333333333,2.2983333333333333,53.61833333333333
1066,2020-04-15 01:00:00,0.0,0.0,0.0,9.705,269.8016666666667,2.1466666666666665,56.67
1067,2020-04-15 02:00:00,0.0,0.0,0.0,9.611666666666666,261.90500000000003,2.0933333333333333,57.20499999999999
1068,2020-04-15 03:00:00,0.0,0.0,0.0,9.013333333333334,258.87333333333333,2.44,58.89000000000001
1069,2020-04-15 04:00:00,0.0,0.0,0.0,8.286666666666667,249.32333333333332,2.5700000000000003,58.45
1070,2020-04-15 05:00:00,0.0,0.0,0.0,7.901666666666666,232.48833333333332,2.0050000000000003,63.45166666666668
1071,2020-04-15 06:00:00,0.0,0.0,0.0,7.125,245.6183333333333,1.98,64.52833333333332
1072,2020-04-15 07:00:00,148.1000061,1.0,0.0,7.558333333333333,249.11333333333332,2.228333333333333,65.145
1073,2020-04-15 08:00:00,245.3000031,1.0,0.0,9.523333333333332,258.43333333333334,1.7499999999999998,66.44833333333334
1074,2020-04-15 09:00:00,368.3999939,1.0,0.0,12.63,282.2683333333334,1.815,63.98500000000001
1075,2020-04-15 10:00:00,687.7999878,1.0,0.0,13.738333333333332,305.8916666666667,2.9233333333333333,56.76166666666666
1076,2020-04-15 11:00:00,839.7000122,1.0,0.0,14.74,326.7216666666667,3.265,54.05833333333333
1077,2020-04-15 12:00:00,814.7000122,1.0,0.0,15.29166666666667,237.41333333333333,3.475,51.40833333333333
1078,2020-04-15 13:00:00,753.1000366,1.0,0.0,15.215000000000002,213.63,2.6333333333333333,44.94499999999999
1079,2020-04-15 14:00:00,698.5,1.0,0.0,15.515,282.27500000000003,2.785,48.84166666666667
1080,2020-04-15 15:00:00,565.4000244,1.0,0.0,15.308333333333332,340.1816666666666,3.155,50.81999999999999
1081,2020-04-15 16:00:00,602.6000366,1.0,0.0,15.136666666666663,330.91,3.2216666666666662,56.70499999999999
1082,2020-04-15 17:00:00,458.2000122,1.0,0.0,15.13,336.2033333333334,3.115,57.56833333333333
1083,2020-04-15 18:00:00,187.6000061,1.0,0.0,14.18,341.255,3.1500000000000004,59.248333333333335
1084,2020-04-15 19:00:00,0.0,0.0,0.0,13.68,330.31999999999994,2.353333333333333,63.22833333333333
1085,2020-04-15 20:00:00,0.0,0.0,0.0,12.26,273.5933333333333,1.8783333333333327,70.625
1086,2020-04-15 21:00:00,0.0,0.0,0.0,10.181666666666668,237.4033333333333,1.9183333333333337,83.37166666666666
1087,2020-04-15 22:00:00,0.0,0.0,0.0,9.115,241.70666666666665,2.3800000000000003,88.235
1088,2020-04-15 23:00:00,0.0,0.0,0.0,9.431666666666665,139.47333333333333,1.9066666666666665,83.25833333333333
1089,2020-04-16 00:00:00,0.0,0.0,0.0,9.203333333333331,274.385,1.6733333333333331,83.04833333333333
1090,2020-04-16 01:00:00,0.0,0.0,0.0,7.979999999999999,251.29333333333335,1.6966666666666663,85.61666666666667
1091,2020-04-16 02:00:00,0.0,0.0,0.0,7.616666666666667,265.075,1.7300000000000002,87.755
1092,2020-04-16 03:00:00,0.0,0.0,0.0,7.419999999999999,252.34000000000003,1.9633333333333327,93.61666666666667
1093,2020-04-16 04:00:00,0.0,0.0,0.0,7.228333333333334,255.2516666666667,1.925,96.81
1094,2020-04-16 05:00:00,0.0,0.0,0.0,6.849999999999999,253.20166666666668,2.168333333333333,98.71166666666666
1095,2020-04-16 06:00:00,0.0,0.0,0.0,6.711666666666667,249.4233333333333,2.236666666666667,98.26833333333332
1096,2020-04-16 07:00:00,196.6000061,1.0,0.0,6.626666666666668,253.11333333333332,2.4883333333333333,94.43166666666669
1097,2020-04-16 08:00:00,424.8999939,1.0,0.0,9.89,258.34,1.5066666666666666,83.03833333333334
1098,2020-04-16 09:00:00,618.9000244,1.0,0.0,14.216666666666669,233.36166666666665,1.1566666666666665,69.91333333333333
1099,2020-04-16 10:00:00,766.6000366,1.0,0.0,15.48,121.87,1.855,67.19666666666667
1100,2020-04-16 11:00:00,873.0,1.0,0.0,16.544999999999998,72.87333333333332,2.8883333333333336,58.84
1101,2020-04-16 12:00:00,909.9000244,1.0,0.0,17.44333333333333,81.33666666666666,4.3933333333333335,57.955000000000005
1102,2020-04-16 13:00:00,891.9000244,1.0,0.0,17.541666666666668,89.325,5.841666666666666,64.80333333333333
1103,2020-04-16 14:00:00,826.0,1.0,0.0,17.403333333333332,93.07166666666666,6.215,66.53666666666666
1104,2020-04-16 15:00:00,644.7000122,1.0,0.0,17.375,104.64,5.371666666666667,65.97333333333334
1105,2020-04-16 16:00:00,553.2000122,1.0,0.0,17.42,117.74666666666668,5.245,68.18833333333333
1106,2020-04-16 17:00:00,398.3000183,1.0,0.0,16.796666666666663,114.90500000000002,5.336666666666667,71.22333333333333
1107,2020-04-16 18:00:00,200.1000061,1.0,0.0,16.326666666666664,122.02666666666666,5.614999999999999,72.46499999999999
1108,2020-04-16 19:00:00,0.0,0.0,0.0,15.368333333333332,128.14833333333334,5.141666666666667,75.81
