,일시,DSR,DSR_DQF1,강수량,기온,풍향,풍속,습도
3469,2020-07-24 08:00:00,372.6000061,1.0,0.0,21.286666666666665,199.1883333333333,4.383333333333334,97.52166666666666
3470,2020-07-24 09:00:00,414.3000183,1.0,0.0,21.14333333333333,206.51333333333332,3.903333333333333,98.18
3471,2020-07-24 10:00:00,437.1000061,1.0,0.5,21.46833333333333,203.62833333333333,3.965,94.46
3472,2020-07-24 11:00:00,728.2000122,1.0,0.0,21.62166666666667,204.17666666666665,4.420000000000001,92.59833333333334
3473,2020-07-24 12:00:00,430.7000122,1.0,0.5,21.868333333333336,202.97,3.928333333333333,90.285
3474,2020-07-24 13:00:00,705.5,1.0,0.0,20.763333333333332,199.295,3.735,99.0
3475,2020-07-24 14:00:00,309.7000122,1.0,0.5,20.92,200.87,3.798333333333334,98.68666666666668
3476,2020-07-24 15:00:00,275.8999939,1.0,0.5,20.911666666666665,203.84,4.073333333333333,99.0
3477,2020-07-24 16:00:00,321.8000183,1.0,0.5,20.58833333333333,206.29,4.111666666666667,99.0
3478,2020-07-24 17:00:00,332.6000061,1.0,0.0,20.36,206.12,3.588333333333333,99.0
3479,2020-07-24 18:00:00,166.1000061,1.0,0.5,20.011666666666667,203.1233333333333,3.7916666666666665,99.0
3480,2020-07-24 19:00:00,0.0,0.0,0.5,19.69333333333333,214.82666666666668,3.4200000000000004,99.0
3481,2020-07-24 20:00:00,0.0,0.0,0.0,19.638333333333332,215.03666666666663,3.11,99.0
3482,2020-07-24 21:00:00,0.0,0.0,0.5,19.686666666666667,215.19000000000003,2.5516666666666667,99.0
3483,2020-07-24 22:00:00,0.0,0.0,0.0,19.64333333333333,211.43,2.4266666666666667,99.0
3484,2020-07-24 23:00:00,0.0,0.0,0.0,19.75333333333333,194.34,1.9116666666666668,98.89333333333332
3485,2020-07-25 00:00:00,0.0,0.0,0.0,19.66,200.95,2.4066666666666667,99.0
3486,2020-07-25 01:00:00,0.0,0.0,0.0,19.78666666666667,200.48,1.995,99.0
3487,2020-07-25 02:00:00,0.0,0.0,0.0,19.62833333333333,197.69833333333332,2.063333333333333,99.0
3488,2020-07-25 03:00:00,0.0,0.0,0.0,19.685,200.29,2.1216666666666666,99.0
3489,2020-07-25 04:00:00,0.0,0.0,0.5,19.593333333333334,200.64,2.2416666666666667,99.0
3490,2020-07-25 05:00:00,0.0,0.0,0.0,19.71333333333333,198.33166666666668,2.1750000000000003,99.0
3491,2020-07-25 06:00:00,0.0,0.0,0.0,19.87,192.1733333333333,1.72,99.0
3492,2020-07-25 07:00:00,181.3000031,1.0,0.0,19.946666666666665,186.2783333333333,1.78,99.0
3493,2020-07-25 08:00:00,269.8999939,1.0,0.0,20.745,189.71166666666667,2.05,99.0
3494,2020-07-25 09:00:00,167.1999969,1.0,0.0,20.71,186.74166666666667,2.2816666666666667,99.0
3495,2020-07-25 10:00:00,307.2000122,1.0,0.0,20.695,193.335,2.04,99.0
3496,2020-07-25 11:00:00,424.8999939,1.0,0.0,21.96666666666667,198.84500000000003,2.228333333333333,95.71333333333332
3497,2020-07-25 12:00:00,409.3999939,1.0,0.0,22.098333333333333,191.99666666666667,2.0900000000000003,92.65000000000002
3498,2020-07-25 13:00:00,397.3000183,1.0,0.0,23.0,198.3083333333333,2.4266666666666667,86.06
